song_id,track_id,genre,file_name,relative_path,archive_path
1,TRAEEVW128F4244269,Blues,TRAEEVW128F4244269__300ba1a982cfe871ec3772ddd346f9b0.mid,data/raw/lakh/selected_midi/Blues/TRAEEVW128F4244269__300ba1a982cfe871ec3772ddd346f9b0.mid,lmd_matched/A/E/E/TRAEEVW128F4244269/300ba1a982cfe871ec3772ddd346f9b0.mid
2,TRALDUE128F9312AF2,Blues,TRALDUE128F9312AF2__6a93cf9ef29e4613693ca9ca498d90af.mid,data/raw/lakh/selected_midi/Blues/TRALDUE128F9312AF2__6a93cf9ef29e4613693ca9ca498d90af.mid,lmd_matched/A/L/D/TRALDUE128F9312AF2/6a93cf9ef29e4613693ca9ca498d90af.mid
3,TRANJGV128F930818A,Blues,TRANJGV128F930818A__6245ca6663abfe9f1e15e18054d16024.mid,data/raw/lakh/selected_midi/Blues/TRANJGV128F930818A__6245ca6663abfe9f1e15e18054d16024.mid,lmd_matched/A/N/J/TRANJGV128F930818A/6245ca6663abfe9f1e15e18054d16024.mid
4,TRAXCGI128F147C7DC,Blues,TRAXCGI128F147C7DC__18614fcad13f24f2fec52f7f7b27c9b8.mid,data/raw/lakh/selected_midi/Blues/TRAXCGI128F147C7DC__18614fcad13f24f2fec52f7f7b27c9b8.mid,lmd_matched/A/X/C/TRAXCGI128F147C7DC/18614fcad13f24f2fec52f7f7b27c9b8.mid
5,TRAYEGN128F9361233,Blues,TRAYEGN128F9361233__7270c9f3d6a001640ebe60fe26142d1e.mid,data/raw/lakh/selected_midi/Blues/TRAYEGN128F9361233__7270c9f3d6a001640ebe60fe26142d1e.mid,lmd_matched/A/Y/E/TRAYEGN128F9361233/7270c9f3d6a001640ebe60fe26142d1e.mid
6,TRAYWXP128F4244520,Blues,TRAYWXP128F4244520__9b717dc252fa7306e557bc6694ca3e45.mid,data/raw/lakh/selected_midi/Blues/TRAYWXP128F4244520__9b717dc252fa7306e557bc6694ca3e45.mid,lmd_matched/A/Y/W/TRAYWXP128F4244520/9b717dc252fa7306e557bc6694ca3e45.mid
7,TRBHHVO128F93090B0,Blues,TRBHHVO128F93090B0__ff62c94049a9df6a71d214291a156185.mid,data/raw/lakh/selected_midi/Blues/TRBHHVO128F93090B0__ff62c94049a9df6a71d214291a156185.mid,lmd_matched/B/H/H/TRBHHVO128F93090B0/ff62c94049a9df6a71d214291a156185.mid
8,TRBIAPG128F9314D7A,Blues,TRBIAPG128F9314D7A__7790675459e3e1a7e41a4584a07f5675.mid,data/raw/lakh/selected_midi/Blues/TRBIAPG128F9314D7A__7790675459e3e1a7e41a4584a07f5675.mid,lmd_matched/B/I/A/TRBIAPG128F9314D7A/7790675459e3e1a7e41a4584a07f5675.mid
9,TRBNRQS128F932E19E,Blues,TRBNRQS128F932E19E__2750c5b4418abc85120318725d3f729c.mid,data/raw/lakh/selected_midi/Blues/TRBNRQS128F932E19E__2750c5b4418abc85120318725d3f729c.mid,lmd_matched/B/N/R/TRBNRQS128F932E19E/2750c5b4418abc85120318725d3f729c.mid
10,TRBQRTN128E078E78E,Blues,TRBQRTN128E078E78E__0f8159d8c8e4288515743955bb03e99c.mid,data/raw/lakh/selected_midi/Blues/TRBQRTN128E078E78E__0f8159d8c8e4288515743955bb03e99c.mid,lmd_matched/B/Q/R/TRBQRTN128E078E78E/0f8159d8c8e4288515743955bb03e99c.mid
